Beginning CellID,Mother_CellID,Child1_CellID,Child2_CellID,Life of mother in t,the name of the Beginning cell,fate 1 of the Beginning cell,fate 2 of the Beginning cell,fate 3 of the Begining cell
670281,880392,0,0,22,a10.0031_,Posterior Ventral Neural Plate,Posterior ventral Neural Plate,Posterior Ventral Neural Plate
670282,880393,0,0,22,a10.0032_,Posterior Ventral Neural Plate,Posterior ventral Neural Plate,Posterior Ventral Neural Plate
680038,880059,0,0,21,a10.0079_,Anterior Ventral Neural Plate,Anterior + Dorsal Neural Plate,Anterior Ventral Neural Plate
680039,880060,0,0,21,a10.0080_,Anterior Ventral Neural Plate,Anterior + Dorsal Neural Plate,Anterior Ventral Neural Plate
680073,880114,0,0,21,b10.0085_,Medio-Lateral Tail Epidermis,Mediolateral Tail Epidermis,Tail Epidermis
680074,880115,0,0,21,b10.0086_,Medio-Lateral Tail Epidermis,Mediolateral Tail Epidermis,Tail Epidermis
680095,880141,0,0,21,b10.0095_,Medio-Lateral Tail Epidermis,Mediolateral Tail Epidermis,Tail Epidermis
680096,880142,0,0,21,b10.0096_,Medio-Lateral Tail Epidermis,Mediolateral Tail Epidermis,Tail Epidermis
680098,880145,0,0,21,b10.0091_,Medio-Lateral Tail Epidermis,Lateral Tail Epidermis,Tail Epidermis
680099,880146,0,0,21,b10.0092_,Medio-Lateral Tail Epidermis,Lateral Tail Epidermis,Tail Epidermis
680100,880147,0,0,21,a10.0105_,Head Epidermis,Trunk Epidermis,Head Epidermis
680101,880148,0,0,21,a10.0106_,Head Epidermis,Trunk Epidermis,Head Epidermis
680102,880149,0,0,21,a10.0107_,Head Epidermis,Trunk Epidermis,Head Epidermis
680103,880150,0,0,21,a10.0108_,Head Epidermis,Trunk Epidermis,Head Epidermis
680135,880197,0,0,21,b10.0100_,Lateral Tail Epidermis,Lateral Tail Epidermis,Tail Epidermis
680136,880198,0,0,21,b10.0099_,Lateral Tail Epidermis,Lateral Tail Epidermis,Tail Epidermis
680138,880201,0,0,21,b10.0101_,Lateral Tail Epidermis,Lateral Tail Epidermis,Tail Epidermis
680139,880202,0,0,21,b10.0102_,Lateral Tail Epidermis,Lateral Tail Epidermis,Tail Epidermis
680140,880203,0,0,21,b10.0103_,Lateral Tail Epidermis,Lateral Tail Epidermis,Tail Epidermis
680141,880204,0,0,21,b10.0104_,Lateral Tail Epidermis,Lateral Tail Epidermis,Tail Epidermis
680146,880212,0,0,21,a10.0114_,Head Epidermis,Trunk Epidermis,Head Epidermis
680147,880213,0,0,21,a10.0117_,Head Epidermis,Trunk Epidermis,Head Epidermis
680148,880214,0,0,21,a10.0115_,Head Epidermis,Trunk Epidermis,Head Epidermis
680149,880215,0,0,21,a10.0116_,Head Epidermis,Trunk Epidermis,Head Epidermis
680152,880219,0,0,21,a10.0119_,Head Epidermis,Trunk Epidermis,Head Epidermis
680153,880220,0,0,21,a10.0120_,Head Epidermis,Trunk Epidermis,Head Epidermis
680179,880255,0,0,21,a10.0105*,Head Epidermis,Trunk Epidermis,Head Epidermis
680180,880256,0,0,21,a10.0106*,Head Epidermis,Trunk Epidermis,Head Epidermis
680181,880257,0,0,21,a10.0108*,Head Epidermis,Trunk Epidermis,Head Epidermis
680182,880258,0,0,21,a10.0107*,Head Epidermis,Trunk Epidermis,Head Epidermis
680183,880259,0,0,21,a10.0109*,Head Epidermis,Trunk Epidermis,Head Epidermis
680184,880260,0,0,21,a10.0110*,Head Epidermis,Trunk Epidermis,Head Epidermis
680185,880261,0,0,21,a10.0111*,Head Epidermis,Trunk Epidermis,Head Epidermis
680186,880262,0,0,21,a10.0112*,Head Epidermis,Trunk Epidermis,Head Epidermis
680191,880267,0,0,21,a10.0125_,Head Epidermis,Trunk Epidermis,Head Epidermis
680192,880268,0,0,21,a10.0126_,Head Epidermis,Trunk Epidermis,Head Epidermis
680201,880279,0,0,21,b10.0126_,Medio-Lateral Tail Epidermis,Mediolateral Tail Epidermis,Tail Epidermis
680202,880280,0,0,21,b10.0125_,Medio-Lateral Tail Epidermis,Mediolateral Tail Epidermis,Tail Epidermis
680204,880283,0,0,21,b10.0122_,Medio-Lateral Tail Epidermis,Mediolateral Tail Epidermis,Tail Epidermis
680205,880284,0,0,21,b10.0121_,Medio-Lateral Tail Epidermis,Mediolateral Tail Epidermis,Tail Epidermis
680206,880285,0,0,21,b10.0123_,Midline Tail Epidermis,Midline Tail Epidermis,Tail Epidermis
680207,880286,0,0,21,b10.0124_,Midline Tail Epidermis,Midline Tail Epidermis,Tail Epidermis
680211,880292,0,0,21,b10.0095*,Medio-Lateral Tail Epidermis,Mediolateral Tail Epidermis,Tail Epidermis
680212,880293,0,0,21,b10.0096*,Medio-Lateral Tail Epidermis,Mediolateral Tail Epidermis,Tail Epidermis
680214,880296,0,0,21,b10.0109*,Midline Tail Epidermis,Midline Tail Epidermis,Tail Epidermis
680215,880297,0,0,21,b10.0110*,Midline Tail Epidermis,Midline Tail Epidermis,Tail Epidermis
680216,880298,0,0,21,b10.0111*,Medio-Lateral Tail Epidermis,Mediolateral Tail Epidermis,Tail Epidermis
680217,880299,0,0,21,b10.0112*,Medio-Lateral Tail Epidermis,Mediolateral Tail Epidermis,Tail Epidermis
680235,880319,0,0,21,a10.0119*,Head Epidermis,Trunk Epidermis,Head Epidermis
680236,880320,0,0,21,a10.0120*,Head Epidermis,Trunk Epidermis,Head Epidermis
680237,880321,0,0,21,a10.0118*,Head Epidermis,Trunk Epidermis,Head Epidermis
680238,880322,0,0,21,a10.0117*,Head Epidermis,Trunk Epidermis,Head Epidermis
680241,880327,0,0,21,b10.0123*,Midline Tail Epidermis,Midline Tail Epidermis,Tail Epidermis
680242,880328,0,0,21,b10.0124*,Midline Tail Epidermis,Midline Tail Epidermis,Tail Epidermis
680246,880335,0,0,21,b10.0120*,Lateral Tail Epidermis,Lateral Tail Epidermis,Tail Epidermis
680247,880336,0,0,21,b10.0119*,Lateral Tail Epidermis,Lateral Tail Epidermis,Tail Epidermis
680255,880345,0,0,21,b10.0087*,Lateral Tail Epidermis,Lateral Tail Epidermis,Tail Epidermis
680256,880346,0,0,21,b10.0088*,Lateral Tail Epidermis,Lateral Tail Epidermis,Tail Epidermis
690094,880139,0,0,20,b10.0094_,Lateral Tail Epidermis,Mediolateral Tail Epidermis,Tail Epidermis
690095,880140,0,0,20,b10.0093_,Lateral Tail Epidermis,Mediolateral Tail Epidermis,Tail Epidermis
690159,880223,0,0,20,b10.0119_,Lateral Tail Epidermis,Lateral Tail Epidermis,Tail Epidermis
690160,880224,0,0,20,b10.0120_,Lateral Tail Epidermis,Lateral Tail Epidermis,Tail Epidermis
690209,880281,0,0,20,b10.0128_,Midline Tail Epidermis,Midline Tail Epidermis,Tail Epidermis
690210,880282,0,0,20,b10.0127_,Midline Tail Epidermis,Midline Tail Epidermis,Tail Epidermis
690229,880306,0,0,20,b10.0107_,Midline Tail Epidermis,Midline Tail Epidermis,Tail Epidermis
690230,880307,0,0,20,b10.0108_,Midline Tail Epidermis,Midline Tail Epidermis,Tail Epidermis
690251,880329,0,0,20,b10.0122*,Medio-Lateral Tail Epidermis,Mediolateral Tail Epidermis,Tail Epidermis
690252,880330,0,0,20,b10.0121*,Medio-Lateral Tail Epidermis,Mediolateral Tail Epidermis,Tail Epidermis
690268,880349,0,0,20,b10.0084*,Medio-Lateral Tail Epidermis,Mediolateral Tail Epidermis,Tail Epidermis
690269,880350,0,0,20,b10.0083*,Medio-Lateral Tail Epidermis,Mediolateral Tail Epidermis,Tail Epidermis
700011,880014,0,0,19,a10.0058_,Posterior Lateral Neural Plate,Lateral Neural Plate,Posterior Lateral Neural Plate
700012,880015,0,0,19,a10.0057_,Posterior Lateral Neural Plate,Lateral Neural Plate,Posterior Lateral Neural Plate
700018,880024,0,0,19,a10.0026_,Posterior Ventral Neural Plate,Posterior ventral Neural Plate,Posterior Ventral Neural Plate
700019,880025,0,0,19,a10.0025_,Posterior Ventral Neural Plate,Posterior ventral Neural Plate,Posterior Ventral Neural Plate
700027,880036,0,0,19,a10.0071_,Anterior Ventral Neural Plate,Anterior + Dorsal Neural Plate,Anterior Ventral Neural Plate
700028,880037,0,0,19,a10.0072_,Anterior Ventral Neural Plate,Anterior + Dorsal Neural Plate,Anterior Ventral Neural Plate
